RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Anthony Rocco Martin,Alex White,,,,,2017-01-15,"Phoenix, Arizona, USA",USA,Red,False,Lightweight,MALE,3,0,1,0,3.76,0.42,0.5,0.92,0.28,1,2,10,0,0,0,1,1,0,0,2,Southpaw,182.88,180.34,155,0,1,0,2.68,0.37,1.0,0.71,0.27,1,3,11,0,0,0,0,0,2,0,2,Orthodox,182.88,185.42,170,27,28,0,0,0,0,-1,-1,0,1,-2,0.0,-5.0800000000000125,1,1.0799999999999996,-0.5,0.21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Jocelyn Jones-Lybarger,Nina Nunes,,,,,2017-01-15,"Phoenix, Arizona, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,2,0,0,4.39,0.45,0.5,0.24,0.33,0,2,6,0,0,0,0,0,0,0,0,Orthodox,165.1,162.56,125,2,0,0,2.96,0.31,0.0,0.34,0.25,0,2,6,0,0,0,0,0,0,0,0,Orthodox,170.18,162.56,115,31,31,0,0,0,0,0,0,0,0,0,-5.0800000000000125,0.0,0,1.4299999999999995,0.5,-0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Walt Harris,Chase Sherman,,,,,2017-01-15,"Phoenix, Arizona, USA",USA,Red,False,Heavyweight,MALE,3,1,0,0,6.04,0.45,0.0,0.09,0.5,0,1,3,0,0,0,0,0,0,0,0,Orthodox,193.04,198.12,250,1,0,0,3.05,0.39,0.1,0.29,0.28,1,4,10,0,0,0,0,1,0,0,1,Southpaw,195.58,195.58,250,33,27,0,0,-1,-1,-3,-7,0,-1,0,-2.5400000000000205,2.539999999999992,-6,2.99,-0.1,-0.1999999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Bojan Mihajlovic,Joachim Christensen,,,,,2017-01-15,"Phoenix, Arizona, USA",USA,Blue,False,Light Heavyweight,MALE,3,1,0,0,3.78,0.41,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,190.5,193.04,205,1,0,0,1.23,0.35,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,205,36,38,0,0,0,0,0,1,0,0,0,10.159999999999997,7.619999999999976,2,2.55,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Dmitrii Smoliakov,Cyril Asker,,,,,2017-01-15,"Phoenix, Arizona, USA",USA,Blue,False,Heavyweight,MALE,3,1,0,0,3.35,0.39,0.9,4.41,0.62,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,247,1,0,0,1.44,0.42,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Switch,187.96,187.96,253,34,31,0,0,0,0,0,-1,0,0,0,-5.0800000000000125,0.0,-3,1.91,0.9,4.41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Valentina Shevchenko,Julianna Pena,,,,,2017-01-28,"Denver, Colorado, USA",USA,Red,False,Women's Bantamweight,FEMALE,5,0,4,0,3.25,0.44,0.8,1.81,0.56,4,0,8,4,0,0,2,2,0,0,4,Orthodox,167.64,175.26,135,0,1,0,3.16,0.52,0.3,2.74,0.64,1,1,11,12,0,1,1,0,0,0,2,Southpaw,165.1,167.64,125,28,27,0,3,3,2,-1,-3,-8,2,0,2.5400000000000205,7.619999999999976,-1,0.0899999999999998,0.5,-0.9300000000000002,1,2.0,1.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,Red,,,,,,,,,,,
Donald Cerrone,Jorge Masvidal,,,,,2017-01-28,"Denver, Colorado, USA",USA,Blue,False,Welterweight,MALE,3,0,2,0,4.05,0.47,0.3,1.38,0.59,4,5,51,3,0,1,8,3,1,0,13,Orthodox,180.34,187.96,170,0,4,0,4.41,0.46,1.2,1.16,0.33,8,7,73,4,0,0,8,8,9,0,25,Orthodox,185.42,185.42,155,33,32,0,-2,-4,-12,-2,-22,-1,-5,-8,-5.0800000000000125,2.539999999999992,-1,-0.3600000000000003,-0.8999999999999999,0.2199999999999999,1,12.0,5.0,,,,,,,,5.0,11.0,,,,,,,,,,,,12.0,,,,,,Red,,,,,,,,,,,
Andrei Arlovski,Francis Ngannou,,,,,2017-01-28,"Denver, Colorado, USA",USA,Blue,False,Heavyweight,MALE,3,0,4,0,2.33,0.41,0.3,0.76,0.62,4,0,6,3,0,0,0,3,1,0,4,Orthodox,193.04,210.82,250,3,0,0,3.82,0.45,0.2,0.37,0.35,6,11,51,5,0,1,2,11,2,0,16,Orthodox,190.5,195.58,240,37,30,-3,4,-2,-12,-11,-45,-2,-8,-1,2.539999999999992,15.23999999999998,-7,-1.4899999999999998,0.0999999999999999,0.39,1,10.0,7.0,,,,,7.0,,,,,,,,,,,,,10.0,,,,,,,,,Red,,,,,,,,,,,
Alex Caceres,Jason Knight,,,,,2017-01-28,"Denver, Colorado, USA",USA,Blue,False,Featherweight,MALE,3,0,2,0,2.95,0.33,1.7,1.31,0.31,2,1,9,0,0,1,1,0,0,0,2,Orthodox,177.8,180.34,145,1,0,0,4.21,0.49,0.7,0.54,0.68,4,7,41,0,0,2,3,0,2,0,7,Southpaw,177.8,185.42,145,28,24,-1,2,-2,-5,-6,-32,0,0,-2,0.0,-5.0800000000000125,-4,-1.2599999999999998,1.0,0.77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Nate Marquardt,Sam Alvey,,,,,2017-01-28,"Denver, Colorado, USA",USA,Blue,False,Middleweight,MALE,3,0,3,0,3.28,0.44,0.1,0.06,0.14,3,3,16,0,0,0,1,4,1,0,6,Southpaw,187.96,190.5,185,0,1,0,2.71,0.49,0.8,1.87,0.51,4,10,54,3,0,0,4,7,3,0,14,Orthodox,182.88,187.96,185,37,30,0,2,-1,-8,-7,-38,-3,-3,-2,5.0800000000000125,2.539999999999992,-7,0.5699999999999998,-0.7000000000000001,-1.81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Raphael Assuncao,Aljamain Sterling,,,,,2017-01-28,"Denver, Colorado, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,4.41,0.52,0.7,2.51,0.29,4,1,14,5,0,0,1,1,2,0,4,Orthodox,170.18,180.34,145,1,0,0,3.22,0.42,0.2,1.65,0.39,7,4,38,0,0,2,6,1,1,0,10,Orthodox,165.1,167.64,135,34,27,0,0,-3,-6,-3,-24,5,0,1,5.0800000000000125,12.699999999999989,-7,1.19,0.4999999999999999,0.8599999999999999,1,7.0,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,7.0,,,Red,,,,,,,,,,,
Bobby Nash,Li Jingliang,,,,,2017-01-28,"Denver, Colorado, USA",USA,Blue,False,Welterweight,MALE,3,0,1,0,4.46,0.42,0.0,1.19,0.41,1,2,11,0,0,1,0,2,0,0,3,Orthodox,182.88,180.34,170,0,0,0,3.42,0.37,1.6,2.37,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,170,26,28,0,1,1,3,2,11,0,2,0,0.0,-7.620000000000003,2,1.04,-1.6,-1.1800000000000002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Henrique da Silva,Jordan Johnson,,,,,2017-01-28,"Denver, Colorado, USA",USA,Blue,False,Light Heavyweight,MALE,3,0,0,0,3.45,0.47,1.2,3.25,0.42,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,200.66,205,1,0,0,3.89,0.6,0.2,0.25,0.14,2,1,6,0,0,0,0,1,1,0,2,Orthodox,190.5,193.04,205,27,28,-1,0,-2,-2,-1,-6,0,-1,-1,-2.539999999999992,7.620000000000003,1,-0.4399999999999999,1.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Eric Spicely,Alessio Di Chirico,,,,,2017-01-28,"Denver, Colorado, USA",USA,Red,False,Middleweight,MALE,3,0,1,0,3.32,0.39,0.0,1.46,0.39,1,1,6,0,0,1,0,0,0,0,1,Orthodox,182.88,187.96,185,0,1,0,3.71,0.45,1.0,1.31,0.2,1,1,2,0,0,0,0,0,1,0,1,Orthodox,185.42,185.42,185,30,27,0,0,0,0,0,4,0,0,-1,-2.5400000000000205,2.539999999999992,-3,-0.3900000000000001,-1.0,0.1499999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Marcos Rogerio de Lima,Jeremy Kimball,,,,,2017-01-28,"Denver, Colorado, USA",USA,Red,False,Light Heavyweight,MALE,3,0,0,0,2.81,0.46,0.0,1.41,0.2,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,182.88,205,1,0,0,3.7,0.57,0.5,1.4,0.45,2,3,8,0,0,0,0,2,1,0,3,Orthodox,185.42,190.5,253,31,26,-1,0,-2,-3,-3,-8,0,-2,-1,-2.5400000000000205,-7.620000000000003,-5,-0.8900000000000001,-0.5,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Alexandre Pantoja,Eric Shelton,,,,,2017-01-28,"Denver, Colorado, USA",USA,Red,False,Flyweight,MALE,3,0,0,0,2.57,0.42,0.2,2.83,0.51,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,125,0,0,0,4.41,0.5,0.9,2.74,0.47,0,0,0,4,0,0,0,0,0,0,0,Orthodox,165.1,170.18,125,26,25,0,0,0,0,0,0,-4,0,0,2.5400000000000205,2.539999999999992,-1,-1.8400000000000003,-0.7,0.0899999999999998,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Jason Gonzalez,JC Cottrell,,,,,2017-01-28,"Denver, Colorado, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,0.79,0.25,0.0,0.79,1.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,175.26,155,1,0,0,3.06,0.39,1.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Southpaw,187.96,187.96,155,26,27,0,0,0,0,0,2,0,0,0,-12.700000000000015,-12.700000000000015,1,-2.27,-1.0,0.79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Dennis Bermudez,Chan Sung Jung,,,,,2017-02-04,"Houston, Texas, USA",USA,Blue,False,Featherweight,MALE,5,1,0,0,3.93,0.41,0.6,0.7,0.44,3,3,16,2,0,0,0,1,2,0,3,Orthodox,170.18,182.88,145,0,2,0,4.42,0.46,1.1,3.89,0.4,7,3,29,1,0,2,4,1,2,0,9,Orthodox,167.64,167.64,155,30,29,1,-2,-4,-6,0,-13,1,0,0,2.539999999999992,15.23999999999998,-1,-0.4899999999999997,-0.5000000000000001,-3.1900000000000004,1,,9.0,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Alexa Grasso,Felice Herrig,,,,,2017-02-04,"Houston, Texas, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,1,0,3.84,0.37,0.8,1.08,0.28,1,1,6,0,0,0,0,0,2,0,2,Orthodox,162.56,165.1,115,0,1,0,4.19,0.41,0.7,0.44,0.4,1,0,3,3,0,0,1,0,0,0,1,Orthodox,165.1,167.64,125,23,32,0,0,0,1,1,3,-3,0,2,-2.539999999999992,-2.5400000000000205,9,-0.3500000000000005,0.1,0.6400000000000001,1,,12.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Abel Trujillo,James Vick,,,,,2017-02-04,"Houston, Texas, USA",USA,Blue,False,Lightweight,MALE,3,1,0,0,4.13,0.39,0.7,0.26,0.33,5,1,12,0,0,0,3,0,2,0,5,Orthodox,190.5,193.04,155,0,3,0,2.65,0.41,0.4,2.18,0.45,3,2,18,0,0,0,1,3,1,0,6,Orthodox,172.72,177.8,155,33,29,1,-3,2,-1,-1,-6,0,-3,1,17.78,15.23999999999998,-4,1.48,0.2999999999999999,-1.92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Ovince Saint Preux,Volkan Oezdemir,,,,,2017-02-04,"Houston, Texas, USA",USA,Blue,False,Light Heavyweight,MALE,3,0,0,0,4.95,0.48,0.1,0.5,0.29,0,0,0,1,0,0,0,0,0,0,0,Orthodox,187.96,190.5,205,2,0,0,3.03,0.47,0.5,1.09,0.36,5,5,44,1,1,0,4,7,1,0,13,Southpaw,190.5,203.2,205,33,27,-2,0,-5,-13,-5,-44,0,-7,-1,-2.539999999999992,-12.699999999999989,-6,1.9200000000000004,-0.4,-0.5900000000000001,1,,6.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Anthony Hamilton,Marcel Fortuna,,,,,2017-02-04,"Houston, Texas, USA",USA,Blue,False,Heavyweight,MALE,3,0,0,0,3.83,0.46,0.5,0.45,0.08,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,205,1,0,0,3.91,0.65,0.0,2.62,0.42,1,4,12,0,0,0,1,2,0,0,3,Orthodox,195.58,193.04,260,36,31,-1,0,-1,-3,-4,-12,0,-2,0,-10.159999999999997,-5.079999999999984,-5,-0.08,0.5,-2.17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Jessica Andrade,Angela Hill,,,,,2017-02-04,"Houston, Texas, USA",USA,Red,False,Women's Strawweight,FEMALE,3,2,0,0,5.47,0.5,0.1,0.81,0.32,1,2,7,0,0,0,1,0,0,0,1,Orthodox,160.02,162.56,115,0,2,0,6.44,0.5,0.3,2.23,0.54,3,3,18,4,0,1,2,1,2,0,6,Orthodox,154.94,157.48,125,25,32,2,-2,-2,-5,-1,-11,-4,-1,-2,5.0800000000000125,5.0800000000000125,7,-0.9700000000000006,-0.1999999999999999,-1.42,1,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Chas Skelly,Chris Gruetzemacher,,,,,2017-02-04,"Houston, Texas, USA",USA,Red,False,Featherweight,MALE,3,0,2,0,6.18,0.57,0.0,0.21,0.5,2,0,4,0,0,0,1,1,0,0,2,Orthodox,172.72,172.72,155,0,1,0,2.01,0.4,2.3,1.74,0.34,4,2,15,0,0,0,1,1,3,0,5,Orthodox,180.34,182.88,145,31,30,0,1,-2,-3,-2,-11,0,0,-3,-7.620000000000003,-10.159999999999997,-1,4.17,-2.3,-1.53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Ricardo Ramos,Michinori Tanaka,,,,,2017-02-04,"Houston, Texas, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,1.97,0.37,0.2,2.4,0.38,1,2,12,0,0,1,1,0,0,0,2,Orthodox,165.1,170.18,135,0,0,0,2.97,0.36,0.7,2.57,0.57,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,145,21,26,1,0,1,2,2,12,0,0,0,-10.159999999999997,-12.699999999999989,5,-1.0000000000000002,-0.4999999999999999,-0.1699999999999999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Tecia Pennington,Bec Rawlings,,,,,2017-02-04,"Houston, Texas, USA",USA,Red,False,Women's Strawweight,FEMALE,3,1,0,0,4.48,0.42,0.4,0.71,0.4,2,2,9,0,0,0,1,0,1,0,2,Orthodox,167.64,162.56,125,1,0,0,4.82,0.47,0.1,0.57,0.14,3,1,12,0,0,0,3,0,0,0,3,Orthodox,154.94,152.4,115,27,27,0,0,-1,-1,1,-3,0,0,1,12.700000000000015,10.159999999999997,0,-0.3399999999999998,0.3,0.14,1,,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Daniel Jolly,Khalil Rountree Jr.,,,,,2017-02-04,"Houston, Texas, USA",USA,Blue,False,Light Heavyweight,MALE,3,2,0,0,3.73,0.38,0.1,0.0,0.0,0,2,4,2,0,0,0,0,0,0,0,Southpaw,185.42,193.04,205,1,0,0,1.32,0.46,0.0,2.83,0.33,0,1,1,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,205,32,26,1,0,0,0,1,3,2,0,0,0.0,2.539999999999992,-6,2.41,0.1,-2.83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Holly Holm,Germaine de Randamie,,,,,2017-02-11,"Brooklyn, New York, USA",USA,Blue,True,Women's Featherweight,FEMALE,5,0,2,0,2.57,0.46,0.4,0.0,0.0,2,2,14,1,0,1,1,3,0,0,5,Orthodox,175.26,180.34,135,2,0,0,3.13,0.4,0.1,0.87,0.3,3,2,18,4,0,1,1,1,0,0,3,Southpaw,172.72,175.26,135,35,32,-2,2,-1,2,0,-4,-3,2,0,2.539999999999992,5.0800000000000125,-3,-0.56,0.3,-0.87,1,,,,,,2.0,,,,,,,,,,,,,10.0,,,,,,,,,,neither,,,,,,,,,,,
Anderson Silva,Derek Brunson,,,,,2017-02-11,"Brooklyn, New York, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,3.51,0.47,0.6,3.14,0.33,5,3,23,0,0,0,4,4,2,0,10,Southpaw,185.42,195.58,185,4,0,0,3.05,0.61,0.8,0.5,0.77,17,8,84,13,0,0,7,20,3,0,30,Southpaw,187.96,195.58,185,41,33,-3,0,-12,-20,-5,-61,-13,-16,-1,-2.539999999999992,0.0,-8,0.4599999999999999,-0.2,2.64,1,8.0,7.0,,,,,,,7.0,,,,,,,,,,,,,8.0,,,,,,,Red,,,,,,,,,,,
Jacare Souza,Tim Boetsch,,,,,2017-02-11,"Brooklyn, New York, USA",USA,Red,False,Middleweight,MALE,3,0,2,0,2.93,0.5,0.8,1.45,0.34,4,9,44,0,0,2,3,6,0,0,11,Orthodox,182.88,187.96,185,0,1,0,2.53,0.47,1.3,2.57,0.39,8,3,41,5,0,0,4,3,9,0,16,Orthodox,185.42,182.88,185,37,36,0,1,-4,-5,6,3,-5,3,-9,-2.5400000000000205,5.0800000000000125,-1,0.4000000000000003,-0.5,-1.12,1,13.0,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,Blue,,,,,,,,,,,
Glover Teixeira,Jared Cannonier,,,,,2017-02-11,"Brooklyn, New York, USA",USA,Red,False,Light Heavyweight,MALE,3,0,2,0,4.6,0.5,0.0,0.46,0.44,2,1,5,1,0,0,1,1,0,0,2,Switch,180.34,195.58,185,1,0,0,3.73,0.49,0.9,2.11,0.33,8,4,28,4,0,0,1,6,4,0,11,Orthodox,187.96,193.04,205,37,32,-1,2,-6,-9,-3,-23,-3,-5,-4,-7.620000000000003,2.5400000000000205,-5,0.8699999999999997,-0.9,-1.65,1,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Dustin Poirier,Jim Miller,,,,,2017-02-11,"Brooklyn, New York, USA",USA,Red,False,Lightweight,MALE,3,0,3,0,2.99,0.42,1.7,1.52,0.44,7,7,59,0,0,2,6,3,6,0,17,Southpaw,172.72,180.34,155,1,0,0,5.3,0.5,1.3,1.24,0.36,5,5,35,4,0,0,4,6,3,0,13,Southpaw,175.26,182.88,155,28,33,-1,3,2,4,2,24,-4,-3,3,-2.539999999999992,-2.539999999999992,5,-2.31,0.3999999999999999,0.28,1,,10.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Randy Brown,Belal Muhammad,,,,,2017-02-11,"Brooklyn, New York, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,4.39,0.43,0.2,2.28,0.39,1,2,7,1,0,0,0,1,0,0,1,Orthodox,180.34,182.88,170,0,2,0,4.35,0.47,0.6,0.81,0.39,2,1,10,0,0,0,1,1,1,0,3,Orthodox,190.5,198.12,170,26,28,1,-2,-1,-2,1,-3,1,0,-1,-10.159999999999997,-15.240000000000007,2,0.04,-0.3999999999999999,1.4699999999999998,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Wilson Reis,Yuta Sasaki,,,,,2017-02-11,"Brooklyn, New York, USA",USA,Red,False,Flyweight,MALE,3,0,1,0,2.16,0.41,1.2,3.03,0.43,1,2,7,0,0,0,0,0,2,0,2,Southpaw,177.8,180.34,125,0,2,0,1.83,0.29,0.6,5.15,0.42,2,2,17,1,0,0,3,0,2,0,5,Southpaw,162.56,165.1,125,32,27,0,-1,-1,-3,0,-10,-1,0,0,15.240000000000007,15.240000000000007,-5,0.33,0.6,-2.120000000000001,1,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Nik Lentz,Islam Makhachev,,,,,2017-02-11,"Brooklyn, New York, USA",USA,Blue,False,Lightweight,MALE,3,0,1,0,2.63,0.58,1.1,3.2,0.53,1,1,6,5,0,0,1,0,1,0,2,Southpaw,177.8,177.8,155,0,2,1,3.44,0.47,1.2,3.3,0.32,4,4,46,0,0,2,6,2,1,0,11,Orthodox,172.72,172.72,145,32,25,0,-1,-3,-9,-3,-40,5,-2,0,5.0800000000000125,5.0800000000000125,-7,-0.81,-0.0999999999999998,-0.0999999999999996,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Ricky Glenn,Phillipe Nover,,,,,2017-02-11,"Brooklyn, New York, USA",USA,Red,False,Featherweight,MALE,3,2,0,0,1.79,0.35,0.7,0.99,0.28,1,5,16,1,0,1,0,0,0,0,1,Orthodox,175.26,182.88,145,1,0,0,3.79,0.42,0.4,0.72,0.13,0,1,3,0,0,0,0,0,0,0,0,Southpaw,182.88,177.8,170,27,33,1,0,1,1,4,13,1,0,0,-7.620000000000003,5.079999999999984,6,-2.0,0.2999999999999999,0.27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Ryan LaFlare,Roan Carneiro,,,,,2017-02-11,"Brooklyn, New York, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,1.46,0.46,1.4,3.05,0.42,1,5,18,0,0,1,1,1,1,0,4,Orthodox,180.34,193.04,170,0,1,0,2.89,0.4,0.2,2.13,0.44,4,1,20,0,0,0,5,0,0,0,5,Southpaw,185.42,187.96,170,33,38,0,0,-3,-1,4,-2,0,1,1,-5.0800000000000125,5.079999999999984,5,-1.4300000000000002,1.2,0.92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Derrick Lewis,Travis Browne,,,,,2017-02-19,"Halifax, Nova Scotia, Canada",Canada,Red,False,Heavyweight,MALE,5,2,0,1,2.93,0.41,0.2,1.21,0.68,3,5,27,0,0,0,1,7,1,0,9,Orthodox,198.12,200.66,255,0,5,0,2.48,0.5,0.0,0.57,0.26,5,2,19,2,0,1,0,7,0,0,8,Orthodox,190.5,200.66,260,32,34,2,-5,-2,1,3,8,-2,0,1,7.620000000000003,0.0,2,0.4500000000000002,0.2,0.64,1,9.0,8.0,,,,,8.0,,,,,,,,,,,,,9.0,,,,,,,,,Red,,,,,,,,,,,
Johny Hendricks,Hector Lombard,,,,,2017-02-19,"Halifax, Nova Scotia, Canada",Canada,Red,False,Middleweight,MALE,3,2,0,0,3.02,0.46,0.5,1.69,0.48,2,6,23,0,0,0,1,2,0,0,3,Southpaw,175.26,180.34,185,3,0,0,3.49,0.45,0.3,3.83,0.46,6,6,54,3,1,2,5,6,0,0,14,Southpaw,175.26,175.26,185,33,39,-1,0,-4,-11,0,-31,-3,-4,0,0.0,5.0800000000000125,6,-0.4700000000000002,0.2,-2.14,1,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Sam Sicilia,Gavin Tucker,,,,,2017-02-19,"Halifax, Nova Scotia, Canada",Canada,Blue,False,Featherweight,MALE,3,0,0,0,4.29,0.44,1.5,3.13,0.44,0,0,0,0,0,0,0,0,0,0,0,Southpaw,167.64,167.64,145,2,0,0,2.46,0.33,0.9,1.45,0.43,2,6,22,0,0,0,2,3,0,0,5,Orthodox,172.72,170.18,145,31,30,-2,0,-2,-5,-6,-22,0,-3,0,-5.079999999999984,-2.539999999999992,-1,1.83,0.6,1.68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Elias Theodorou,Cezar Ferreira,,,,,2017-02-19,"Halifax, Nova Scotia, Canada",Canada,Red,False,Middleweight,MALE,3,0,3,0,1.9,0.42,0.5,2.69,0.53,3,3,21,1,0,1,4,0,2,0,7,Southpaw,185.42,198.12,185,0,1,0,4.19,0.42,0.0,1.27,0.28,3,1,13,1,0,0,2,2,0,0,4,Orthodox,185.42,190.5,185,28,32,0,2,0,3,2,8,0,-2,2,0.0,7.620000000000003,4,-2.2900000000000005,0.5,1.42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Sara McMann,Gina Mazany,,,,,2017-02-19,"Halifax, Nova Scotia, Canada",Canada,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,3.73,0.5,0.2,4.34,0.52,0,0,0,0,0,0,0,0,0,0,0,Southpaw,167.64,172.72,125,0,2,0,2.26,0.46,0.5,4.38,0.65,5,3,26,1,0,1,4,1,2,0,8,Orthodox,167.64,167.64,135,36,28,0,-2,-5,-8,-3,-26,-1,-1,-2,0.0,5.079999999999984,-8,1.4700000000000002,-0.3,-0.04,1,,7.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
